Sequence_id	Database_id	Percentage_identity	E-value	Classification
112|DICE_READ_00241703	119998	98.26	3e-150	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
113|DICE_READ_00247048	143237	94.76	2e-107	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
114|DICE_READ_00264518	118817	98.75	4e-127	Bacteria; Unclassified; otu_205
115|DICE_READ_00236694	119998	98.26	3e-150	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
116|DICE_READ_00265843	7719	92.98	2e-92	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
117|DICE_READ_00241070	7719	93.31	1e-93	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
118|DICE_READ_00235856	8562	93.75	3e-91	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
119|DICE_READ_00254603	165618	98.76	6e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hyphomonas; Unclassified; otu_2286
120|DICE_READ_00266592	101465	94.85	6e-120	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Vitellibacter; otu_891
121|DICE_READ_00262644	7719	92.89	6e-92	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
122|DICE_READ_00252333	8562	93.64	2e-95	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
123|DICE_READ_00257605	8878	94.12	2e-114	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
124|DICE_READ_00257746	139292	96.31	1e-114	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Muricauda; Unclassified; otu_852
